slug,name,fieldGroup,field,yearPosed,solveDate,model,modelMaker,aiContribution,resolutionMethod,verification,verification_route,lean_status,auto_tag,manual_verdict,significance,solveType,publication,harness_keyword_hits,think_hard_keyword_hits,trial_mentions,manual_rationale,sourceUrl
lassak-reduced-body-area,Lassak's Area Bound for Reduced Planar Bodies,Geometry & topology,Convex geometry,,2026-06-26,"GPT-5.5 Pro, Claude Opus 4.8",OpenAI / Anthropic,ai-assisted,construction,site-confirmed,site-reproduced,no-mention,no-signal,,15,disproved,preprint,,,,,https://arxiv.org/abs/2606.28612
zonoid-volume-log-submodularity,Log-Submodularity of Zonoid Volume,Geometry & topology,Convex geometry,2023,2026-08-07,GPT-5.6 Pro,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,12,disproved,preprint,search,,,,https://arxiv.org/abs/2608.07702
makeev-s-conjecture-on-universal-cover,Makeev's conjecture on universal cover,Geometry & topology,Metric geometry,1994,2026-08-10,ChatGPT 5.6 Pro,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,15,disproved,announcement,,,,,https://github.com/simplex4/math-results/blob/main/makeev-code/a4/makeev_d4_d5.pdf
mauri-moraga-log-calabi-yau,Mauri and Moraga's Question on Log Calabi-Yau Pairs with Big Boundary,Geometry & topology,Birational geometry,,2026-05-21,ChatGPT 5.5 Pro and Rethlas,,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,15,disproved,preprint,,,,,https://arxiv.org/abs/2605.22052
optimal-partial-plank-coverings,Optimal Partial Plank Coverings,Geometry & topology,"Discrete Geometry, Coverings",,2026-07-29,ChatGPT,OpenAI,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2607.27483
chern-class-positivity-symmetric-powers,Positivity of Chern Classes of Symmetric Powers,Geometry & topology,Enumerative geometry,,2026-05-24,"AlphaEvolve, ChatGPT 5.5 Pro",Google DeepMind / OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,15,proved,preprint,search,,,,https://arxiv.org/abs/2605.25271
dm-stack-positivity-without-torsion-free,Positivity on Deligne–Mumford Stacks Without the Torsion-Free Hypothesis,Geometry & topology,"Algebraic Geometry, Stacks",2026,2026-07-29,ChatGPT 5.5 Pro + Danus,,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,5,proved,preprint,agent,,,,https://arxiv.org/abs/2607.26989
purdy-inequality-hyperplane-arrangements,Purdy's Inequality for Hyperplane Arrangements,Geometry & topology,Discrete geometry,,2026-07-09,ChatGPT,OpenAI,ai-assisted,computation,site-confirmed,site-reproduced,no-mention,no-signal,,15,disproved,preprint,,,,,https://arxiv.org/abs/2607.08463
sabok-s-prime-simplex,Sabok's S-Prime Simplex Questions,Geometry & topology,Convex geometry,,2026-06-18,GPT-based models,OpenAI,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,10,disproved,preprint,,,,,https://arxiv.org/abs/2607.27215
aluffi-chen-marcolli-real-rootedness,The Aluffi-Chen-Marcolli Real-Rootedness Conjecture,Geometry & topology,Algebraic geometry,,2026-05-27,Co-Mathematician,,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,20,proved,preprint,agent; search,,,,https://arxiv.org/abs/2605.29151
ciliberto-non-movable-divisor,The Ciliberto et al. Question on Effective Divisors of Positive Self-Intersection,Geometry & topology,Algebraic geometry,,2026-05-20,ChatGPT 5.5 Pro and Rethlas,,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,15,disproved,preprint,,,,,https://arxiv.org/abs/2605.20594
ehrhart-volume-conjecture-equality,The Equality Case of Ehrhart's Volume Conjecture,Geometry & topology,Convex geometry,1964,2026-08-02,"GPT-5.6 Sol, Fable 5, Danus",,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,22,proved,preprint,,,,,https://arxiv.org/abs/2608.01040
hyperkahler-period-index-conjecture,The Hyperkahler Period-Index Conjecture,Geometry & topology,Algebraic geometry,2019,2026-08-10,Unspecified,,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,22,disproved,preprint,,,,,https://arxiv.org/abs/2608.09436
kirby-4-37-irreducible-projective-plane,The Kinoshita Conjecture and Kirby Problem 4.37,Geometry & topology,4-manifold topology,,2026-05-13,"ChatGPT, Cursor and Gemini",,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,35,disproved,preprint,,,,,https://arxiv.org/abs/2605.12921
minimal-distance-problem-sharp-exponent,The Minimal Distance Problem,Geometry & topology,Discrete geometry,,2026-07-22,GPT-5.6 Pro,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,20,proved,preprint,,,,,https://arxiv.org/abs/2607.20422
odd-area-unit-disks,The Odd Area Conjecture for Unit Disks,Geometry & topology,Discrete geometry,,2026-06-06,AlphaEvolve,Google DeepMind,ai-co-developed,computation,site-confirmed,site-reproduced,no-mention,harness-signal,,15,disproved,preprint,search,,,,https://arxiv.org/abs/2606.08337
dyn-farkhi-hausdorff-convexification,The Sharp Threshold for the Dyn-Farkhi Conjecture,Geometry & topology,Convex geometry,2004,2026-06-09,ChatGPT 5.5 Pro,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2606.10815
da-silva-machado-seade-conjecture,The da Silva Machado-Seade Conjecture,Geometry & topology,Singularity theory,,2026-06-29,Danus (built on Rethlas),,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,15,proved,preprint,agent; search,,,,https://arxiv.org/abs/2606.29891
mod-4-kawauchi-conjecture,The mod 4 Kawauchi Conjecture,Geometry & topology,Knot theory,1979,2026-07-21,Claude Fable 5,Anthropic,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,20,proved,preprint,search,,,,https://arxiv.org/abs/2607.18655
cohn-elkies-bound-dimension-36,Tightness of the Cohn-Elkies Bound in Dimension 36,Geometry & topology,Sphere packing,2003,2026-07-13,"Claude Fable 5, Claude Opus 4.8, Codex (GPT-5.6)",Anthropic / OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,25,disproved,preprint,,,,,https://arxiv.org/abs/2607.11319
pencil-cubics-twelve-common-flex-lines,Twelve Common Flex Lines in a General Pencil of Cubics,Geometry & topology,"Algebraic Geometry, Plane Curves",2026,2026-07-29,ChatGPT 5.5 Pro + Danus,,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,7,proved,preprint,agent,,,,https://arxiv.org/abs/2607.26396
universal-volume-growth-bounds-from-positive-intermediate-curvature,Universal volume growth bounds from positive intermediate curvature,Geometry & topology,Differential geometry,1986,2026-08-13,GPT-5.6 Sol,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,38,proved,preprint,,,,,https://arxiv.org/abs/2608.14507
vertex-minimal-paper-tori,Vertex-Minimal Paper Tori,Geometry & topology,Polyhedral geometry,,2025-07-20,"ChatGPT-4o, ChatGPT-5",OpenAI,ai-assisted,computation,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,10,proved,preprint,,,,,https://arxiv.org/abs/2507.14998
wegner-rectangle-piercing-conjecture,Wegner's Piercing Conjecture for Rectangles,Geometry & topology,Discrete geometry,1965,2026-06-16,"GPT-5.5 Pro, Codex",OpenAI,ai-co-developed,construction,site-confirmed,site-reproduced,no-mention,harness-signal,,25,disproved,preprint,search,,,,https://arxiv.org/abs/2606.17854
ziegler-cross-polytope-01,Ziegler's Cross-Polytope Conjecture (simplicial 0/1-polytopes),Geometry & topology,"Combinatorics, Discrete Geometry",2000,2026-06-30,"DeepSeek V4 Flash, GLM 5.2",DeepSeek / Zhipu AI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,mentioned-not-tiered,harness-signal,,15,disproved,preprint,agent; enumerat; search,,,,https://arxiv.org/abs/2606.31640
sop-2-sop-3,$SOP_2 = SOP_3$,Logic & foundations,Model theory,2004,2026-08-13,ChatGPT 5.6,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,35,proved,preprint,repeat,,,,https://arxiv.org/abs/2608.13291
erdos-501-infinite-independent-sets,Erdős Problem #501: infinite independent sets for families of small outer measure,Logic & foundations,Set theory / forcing,1961,2026-08-19,"Sol, Claude","OpenAI, Anthropic",,argument,lean-verified,lean,tiered-lean-verified,no-signal,,14,independent,announcement,,,,,https://github.com/ElliotGlazer/erdos501
exact-order-three-ambiguity-of-the-einstein-maxwell-dilaton-coupling-a-2-in-metr,"Exact order-three ambiguity of the Einstein-Maxwell-dilaton coupling $a^2$ in metric jets, and its fourth-order collapse",Mathematical physics,"Mathematical relativity - Rainich geometrization, Kaluza-Klein",2026,2026-08-14,"GPT 5.6 Sol, Fable","OpenAI, Anthropic",ai-co-developed,construction,lean-checked,lean,tiered-lean-checked,harness-signal,,3,proved,announcement,pipeline; repeat,,,,https://github.com/jimpeebles/emd-coupling-identifiability/tree/v0.1.0
ffd-without-exponential-degeneracies,Free Fermions in Disguise without Exponential Degeneracies,Mathematical physics,Integrable spin chains,2026,2026-06-08,"ChatGPT 5.4 Pro, ChatGPT 5.5 Pro",OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,7,proved,preprint,autonomous; search,,,,https://arxiv.org/abs/2606.09462
fullrsb-jamming-identity,FullRSB Jamming Identity a + b = 1,Mathematical physics,Statistical physics,2014,2026-06-02,"Claude Sonnet 4.6, Claude Opus 4.7",Anthropic,ai-co-developed,argument,expert-verified,expert-read,no-mention,no-signal,think-hard-argument-human-corrected,20,proved,peer-reviewed,,,,"Claude ""quickly proposed the essentially correct idea"" from a single ask, but the first write-up had errors the human authors fixed before verifying. Real nuance: think-hard, but not flawless - human correction was substantive, not just a rubber stamp.",https://arxiv.org/abs/2606.03300
maxwell-conjecture,Maxwell's Conjecture on Point-Charge Equilibria,Mathematical physics,Classical electrostatics,2004,2026-07-29,GPT-5.6 Sol,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,30,disproved,preprint,,,,,https://arxiv.org/abs/2607.27197
maxwell-three-charge-bound,Maxwell's Three-Charge Equilibrium Bound,Mathematical physics,Classical electrostatics,,2026-07-30,Claude,Anthropic,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2607.28785
syk-ground-state-energy-sharp-bounds,Sharp Bounds on the Ground State Energy of the SYK Model,Mathematical physics,"Mathematical Physics, Random Matrices",2019,2026-07-29,GPT-5.5 Pro / GPT-5.6 Pro,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,20,proved,preprint,search,,,,https://arxiv.org/abs/2607.27185
single-minus-gluon-amplitudes,Single-Minus Gluon Tree Amplitudes,Mathematical physics,Scattering amplitudes,2011,2026-02-12,GPT-5.2 Pro,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,15,disproved,preprint,,,,,https://arxiv.org/abs/2602.12176
talagrand-s-critical-sherrington-kirkpatrick-overlap-conjecture,Talagrand's critical Sherrington-Kirkpatrick overlap conjecture,Mathematical physics,Spin glass theory,2011,2026-08-09,GPT-5.6 Pro,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,30,proved,preprint,,,,,https://arxiv.org/abs/2608.08752
witten-zeta-leading-residue,A Universal Leading-Residue Formula for Witten Zeta Functions,Number theory,"Zeta Functions, Root Systems",,2026-07-14,GPT-5.6 Sol via Codex,OpenAI,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,7,proved,preprint,agent,,,,https://arxiv.org/abs/2607.12728
partially-regular-primes,Almost All Primes are Partially Regular,Number theory,Algebraic number theory,,2026-02-04,AxiomProver,Axiom Math,ai-discovered,argument,lean-checked,lean,tiered-lean-checked,harness-signal,,15,proved,preprint,autonomous,,,,https://arxiv.org/abs/2602.05090
erdos-borwein-binary-blocks,Binary Digits of the Erdős-Borwein Constant,Number theory,Digital number theory,2012,2026-05-22,GPT-5.5 Pro,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,10,proved,preprint,,,,,https://arxiv.org/abs/2605.24160
composites-among-xi-7-n,Composites Among $[\xi 7^n]$ and Right-Truncatable Primes in Base 7,Number theory,Number theory - integer sequences,2005,2026-08-15,"Fable 5, Opus 4.8",Anthropic,ai-discovered,computation,lean-checked,lean,tiered-lean-checked,no-signal,,10,proved,preprint,,,,,https://www.researchgate.net/publication/412294027_On_the_composites_among_x7
generalized-totient-divisibility,Divisibility Set of the Generalized Euler Totient,Number theory,Multiplicative number theory,2024,2026-06-01,GPT-5.5 Pro,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,5,proved,preprint,,,,,https://arxiv.org/abs/2606.01633
erdos-1061-sum-of-divisors,Erdos Problem #1061,Number theory,Number theory,,2026-06-24,"ChatGPT, Aristotle",OpenAI / Harmonic,ai-co-developed,argument,unreviewed,unreviewed-argument,mentioned-not-tiered,harness-signal,,10,disproved,preprint,search,,,,https://arxiv.org/abs/2606.25849
erdos-768-sylow-divisor-condition,Erdos Problem #768,Number theory,Number theory,,2026-06-23,"ChatGPT, Aristotle",OpenAI / Harmonic,ai-co-developed,argument,unreviewed,unreviewed-argument,mentioned-not-tiered,harness-signal,,10,proved,preprint,search,,,,https://arxiv.org/abs/2606.24872
erdos-consecutive-integers-prime-factors,Erdos's Conjecture on Consecutive Integers Free of Certain Prime Factors,Number theory,Number theory,,2026-06-18,"ChatGPT 5.5 Pro, Aristotle",OpenAI / Harmonic,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2606.19863
erdos-graham-unit-fraction-averages,Erdos-Graham Question on Averages of Unit Fractions,Number theory,Number theory,1980,2026-07-16,ChatGPT,OpenAI,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,15,disproved,preprint,search,,,,https://arxiv.org/abs/2607.15419
erdos-1051,Erdős Problem #1051,Number theory,Irrationality,1980,2026-01-29,Aletheia,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/1051
erdos-1138,Erdős Problem #1138,Number theory,"Number Theory, Primes",1999,2026-04-25,"GPT-5.5 Pro, GPT-5.5 Thinking",,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,no-signal,,10,disproved,announcement,,,,,https://www.erdosproblems.com/1138
erdos-1141,Erdős Problem #1141,Number theory,"Number Theory, Primes",1999,2026-04-09,OpenAI internal model,,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,no-signal,,10,disproved,announcement,,,,,https://www.erdosproblems.com/1141
erdos-1148,Erdős Problem #1148,Number theory,Number Theory,1999,2026-03-16,"Gemini 3 Pro, Gemini 3.1 Pro, GPT-5.2 Pro, GPT-5.2 Thinking, GPT-5.4 Pro, GPT-5.5 Pro",,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/1148
erdos-1190,Erdős Problem #1190,Number theory,"Number Theory, Covering Systems",1980,2026-04-23,GPT-5.4 Pro,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/1190
erdos-1195,Erdős Problem #1195,Number theory,"Analysis, Number Theory",1980,2026-04-19,GPT-5.4 Pro,,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/1195
erdos-1196-primitive-sets,Erdős Problem #1196: Primitive Sets,Number theory,Number Theory,1966,2026-04,GPT-5.4 Pro,OpenAI,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,think-hard-signal,think-hard-argument-lean-verified,15,proved,announcement,,bare problem statement; no historical context,,"One-shot discovery (bare problem statement, no hints) AND subsequently Lean-verified - the rare case that is both a clean think-hard result and machine-checked, not an either/or.",https://www.erdosproblems.com/1196
erdos-1202,Erdős Problem #1202,Number theory,"Number Theory, Primes",1980,2026-04-01,GPT-5.4 Pro,,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/1202
erdos-1217,Erdős Problem #1217,Number theory,"Number Theory, Divisors, Primitive Sets",1966,2026-04-16,GPT-5.4 Pro,,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/1217
erdos-123,Erdős Problem #123,Number theory,Number Theory,1996,2026-07,GPT-5.6,OpenAI,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,11,proved,announcement,,,,,https://www.erdosproblems.com/123
erdos-125,Erdős Problem #125,Number theory,"Number Theory, Base Representations",1996,2026-03-30,DeepMind prover agent,,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,no-signal,,10,disproved,announcement,,,,,https://www.erdosproblems.com/125
erdos-152,Erdős Problem #152,Number theory,Sidon Sets,1994,2026-04-03,DeepMind prover agent,,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/152
erdos-202,Erdős Problem #202,Number theory,Covering Systems,1961,2026-04-23,GPT-5.4 Pro,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,12,proved,announcement,,,,,https://www.erdosproblems.com/202
erdos-205,Erdős Problem #205,Number theory,Number Theory,1980,2026-01-10,"Aristotle, GPT-5.2 Thinking",,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,no-signal,,10,disproved,announcement,,,,,https://www.erdosproblems.com/205
erdos-258,Erdős Problem #258,Number theory,Irrationality,1980,2026-04-14,GPT-5.4 Pro,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/258
erdos-281,Erdős Problem #281,Number theory,"Number Theory, Covering Systems",1980,2026-01-17,GPT-5.2 Pro,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/281
erdos-283,Erdős Problem #283,Number theory,"Number Theory, Unit Fractions",1980,2026-05-03,GPT-5.5 Pro,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/283
erdos-320,Erdős Problem #320,Number theory,"Number Theory, Unit Fractions",1980,2026-07,GPT-5.6 Sol,OpenAI,ai-discovered,argument,site-confirmed,site-reproduced,mentioned-not-tiered,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/320
erdos-321,Erdős Problem #321,Number theory,"Number Theory, Unit Fractions",1980,2026-07,GPT-5.6 Sol,OpenAI,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/321
erdos-330,Erdős Problem #330,Number theory,"Number Theory, Additive Basis",1980,2026-04-24,GPT-5.5 Pro,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/330
erdos-333,Erdős Problem #333,Number theory,"Number Theory, Additive Basis",1980,2025-12-25,"Claude Opus 4.5, GPT-5.2 Pro",,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,no-signal,,10,disproved,announcement,,,,,https://www.erdosproblems.com/333
erdos-347,Erdős Problem #347,Number theory,"Number Theory, Complete Sequences",1980,2026-02-04,"Aristotle, Claude Opus, Codex, GPT",,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/347
erdos-351,Erdős Problem #351,Number theory,"Number Theory, Complete Sequences",1980,2026-05-03,GPT-5.5 Pro,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/351
erdos-369,Erdős Problem #369,Number theory,Number Theory,1980,2026-03-26,GPT,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/369
erdos-38,Erdős Problem #38,Number theory,Number Theory,1956,2026-04-25,GPT-5.5 Pro,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/38
erdos-380,Erdős Problem #380,Number theory,Number Theory,1980,2026-03-31,GPT-5.4 Pro,,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/380
erdos-387-binomial-divisors,Erdős Problem #387,Number theory,Number theory,,2026-05-20,ChatGPT 5.5 Pro,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,35,disproved,preprint,search,,,,https://arxiv.org/abs/2605.21221
erdos-397,Erdős Problem #397,Number theory,"Number Theory, Binomial Coefficients",1980,2026-01-10,"Aristotle, GPT-5.2 Pro, Aletheia",,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,no-signal,,10,disproved,announcement,,,,,https://www.erdosproblems.com/397
erdos-401,Erdős Problem #401,Number theory,"Number Theory, Factorials",1980,2026-01-11,"Aristotle, GPT-5.2 Pro",,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/401
erdos-42,Erdős Problem #42,Number theory,"Number Theory, Sidon Sets, Additive Combinatorics",1995,2026-04-27,GPT-5.5 Pro,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/42
erdos-43,Erdős Problem #43,Number theory,"Number Theory, Sidon Sets",1982,2026-04-27,"GPT-5.5 Pro, Aristotle, Claude",OpenAI / Harmonic / Anthropic,ai-discovered,construction,site-confirmed,site-reproduced,mentioned-not-tiered,no-signal,,11,disproved,announcement,,,,,https://www.erdosproblems.com/43
erdos-457,Erdős Problem #457,Number theory,Number Theory,1979,2026-03-02,"Aristotle, GPT-5.2 Pro",,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/457
erdos-469,Erdős Problem #469,Number theory,"Number Theory, Divisors",,2026-07-21,"GPT-5.6 Sol Ultra, Claude Fable 5",OpenAI / Anthropic,ai-co-developed,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/469
erdos-539,Erdős Problem #539,Number theory,"Number Theory, Multiplicative Combinatorics",1973,2026-06-10,ProofCouncil (GPT-5.5 Pro),OpenAI,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,harness-signal,,10,proved,announcement,harness,,,,https://www.erdosproblems.com/539
erdos-543,Erdős Problem #543,Number theory,"Number Theory, Group Theory",1973,2026-01-21,GPT-5.2 Pro,,ai-discovered,construction,site-confirmed,site-reproduced,no-mention,no-signal,,10,disproved,announcement,,,,,https://www.erdosproblems.com/543
erdos-650,Erdős Problem #650,Number theory,Number Theory,1995,2026-03-07,GPT-5.4 Pro,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/650
erdos-690,Erdős Problem #690,Number theory,Number Theory,1979,2026-05-08,Multiscalar Fields System,,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/690
erdos-694,Erdős Problem #694,Number theory,Number Theory,1979,2026-05-01,GPT-5.5 Pro,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/694
erdos-696,Erdős Problem #696,Number theory,"Number Theory, Divisors",1979,2026-06-05,"Aristotle, Claude Code, Claude Opus 4.7, GPT-5.5 Pro",,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/696
erdos-707-sidon-perfect-difference,Erdős Problem #707: Sidon Sets and Perfect Difference Sets,Number theory,Combinatorial number theory,1976,2025-10-22,ChatGPT (GPT-5),OpenAI,ai-assisted,construction,lean-verified,lean,tiered-lean-verified,no-signal,,20,disproved,preprint,,,,,https://arxiv.org/abs/2510.19804
erdos-728-factorial-divisibility,Erdős Problem #728: Factorial Divisibility,Number theory,Number Theory,1975,2026-01-06,Aristotle (Harmonic) + GPT-5.2 Pro,Harmonic / OpenAI,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,harness-signal,,10,proved,announcement,autonomous,,,,https://www.erdosproblems.com/728
erdos-729,Erdős Problem #729,Number theory,"Number Theory, Factorials",1975,2026-01-10,"Aristotle, GPT-5.2 Pro",,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/729
erdos-741,Erdős Problem #741,Number theory,Additive Combinatorics,1994,2026-04-16,DeepMind prover agent,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,harness-signal,,10,proved,announcement,agent,,,,https://www.erdosproblems.com/741
erdos-793,Erdős Problem #793,Number theory,Number Theory,1969,2026-07,GPT-5.6 Sol,OpenAI,ai-discovered,argument,site-confirmed,site-reproduced,mentioned-not-tiered,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/793
erdos-848,Erdős Problem #848,Number theory,Number Theory,1992,2025-11-20,GPT-5,OpenAI,ai-co-developed,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/848
erdos-851,Erdős Problem #851,Number theory,Number Theory,1985,2026-02-05,GPT-5.2 Pro,,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/851
erdos-858,Erdős Problem #858,Number theory,"Number Theory, Primitive Sets",1970,2026-04-15,GPT-5.4 Pro,,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/858
erdos-863,Erdős Problem #863,Number theory,"Number Theory, Sidon Sets, Additive Combinatorics",1992,2026-04-22,GPT-5.4 Pro,,ai-co-developed,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/863
erdos-865,Erdős Problem #865,Number theory,"Number Theory, Additive Combinatorics",1972,2026-06-22,GPT-5.5 Pro,,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/865
erdos-871,Erdős Problem #871,Number theory,"Number Theory, Additive Basis",1988,2026-01-05,"Claude Opus 4.5, Gemini 3 Pro",,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,no-signal,,10,disproved,announcement,,,,,https://www.erdosproblems.com/871
erdos-888,Erdős Problem #888,Number theory,"Number Theory, Squares",1998,2026-04-25,"Aristotle, GPT-5.5 Pro",,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/888
erdos-896,Erdős Problem #896,Number theory,Number Theory,1972,2026-04-26,GPT-5.5 Pro,,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/896
